Image,PSNR,SSIM
0.png,19.28949240488752,0.3989876589093702
1.png,19.944994666888125,0.48568153903808886
10.png,19.622385760077666,0.49633134000089674
100.png,25.29493431569704,0.7644382338065548
1000.png,28.20162075548831,0.845045105830902
1001.png,26.463243562786893,0.8140170137568934
1002.png,27.022022490381808,0.8228536296124208
1003.png,26.37853319313637,0.8178653332359144
1004.png,26.752068604650074,0.8180047363928807
1005.png,26.732421274040092,0.8187230736537198
1006.png,26.00866957580955,0.808881308313115
1007.png,25.940586769139816,0.8054499847456266
1008.png,27.072665562738468,0.8262078556449944
1009.png,26.39110473591906,0.822400578405612
101.png,22.263259301229855,0.6556508619150637
1010.png,26.0471423724367,0.806644748220853
1011.png,26.21631535823227,0.8138480011995577
1012.png,27.25941860054613,0.834762625253826
1013.png,25.640986764392846,0.7959811472490077
1014.png,28.20514307186762,0.8503672771179513
1015.png,27.98404199623153,0.8410809203228082
1016.png,26.00070811005792,0.7991954331912552
1017.png,24.5691229146636,0.769144453158009
1018.png,26.616129812788554,0.817957813958068
1019.png,26.686903575107014,0.8232475320301328
102.png,22.650810617311507,0.6630069211067456
1020.png,26.33670949806926,0.8059042759627495
1021.png,27.26649826822195,0.8307102862897999
1022.png,27.01926552315645,0.8259971146935976
1023.png,25.962242473255376,0.8039843699044725
1024.png,26.021906028754863,0.8069709911742495
1025.png,26.763783169213696,0.823369916760979
1026.png,26.7877005336481,0.8207911729441879
1027.png,28.595833165748896,0.8528491512815745
1028.png,27.29952172457689,0.8386079620750859
1029.png,25.79873224961032,0.8033320411842981
103.png,22.02642077818076,0.6120606588871224
1030.png,28.121902724886954,0.8453498602514634
1031.png,27.51190916438009,0.8347590824238739
1032.png,27.946566457072002,0.8494601726836497
1033.png,27.04134574353297,0.8337761719564167
1034.png,26.4349160650507,0.8115492267878421
1035.png,27.301307147608856,0.8293922921382066
1036.png,27.223505321854553,0.8291469579517428
1037.png,25.67567912608663,0.7966878454825544
1038.png,26.71076643955392,0.816112968668454
1039.png,27.783076975183878,0.8416421797153065
104.png,23.46905047736795,0.7038794622574437
1040.png,27.31345687896421,0.8326008037565367
1041.png,27.606861581600963,0.8362285416699388
1042.png,25.84458879397679,0.8042108142247741
1043.png,25.071464285193585,0.8001692702162346
1044.png,26.052239482458507,0.8022687997581354
1045.png,27.66777740403324,0.8365248615147082
1046.png,28.383702381131272,0.8596008976190347
1047.png,26.171550761781603,0.8163402213330372
1048.png,26.36266099739126,0.8116616701380112
1049.png,27.387527176165616,0.8319424792377695
105.png,22.19168025702469,0.6467980399215424
1050.png,25.64401179086502,0.8150020258651527
1051.png,27.152590223875105,0.8289879699253847
1052.png,26.604654706299655,0.8237141836382375
1053.png,27.328670666127223,0.8320049581874487
1054.png,26.750873381349155,0.8295983337963524
1055.png,26.46147025355607,0.8172086466501259
1056.png,25.357447034026084,0.7900834860972694
1057.png,25.404815455134724,0.7883640951848345
1058.png,25.37186427523833,0.8059160207169181
1059.png,27.39312869168201,0.8305630378434262
106.png,23.864901449140817,0.7104867285996286
1060.png,28.12530381428525,0.852139959474302
1061.png,26.206452831390372,0.8111023919274531
1062.png,27.03109734319917,0.8227867467910022
1063.png,28.555918247740255,0.8510243948226538
1064.png,24.983747433330933,0.7902179501752344
1065.png,18.699708186910094,0.4162812290000931
1066.png,22.522027843926892,0.7073291240591361
1067.png,23.303701684938222,0.7564170943651268
1068.png,20.79457698094273,0.5655587039691244
1069.png,17.351730072010664,0.33047552064349833
107.png,23.048670824450205,0.6819129682156755
1070.png,18.725247242764297,0.4042669290855388
1071.png,20.728157611346862,0.6369894186295724
1072.png,20.30861008547828,0.6260473389301083
1073.png,20.80150957462283,0.6348414321703378
1074.png,19.25018671506876,0.4921530713295149
1075.png,21.513944306050593,0.6517487944042418
1076.png,21.765427869406494,0.651722754359356
1077.png,21.257096479267076,0.6486870629096595
1078.png,20.328439899253013,0.5820708669088717
1079.png,20.340416564360126,0.5728959842460687
108.png,23.776447907102188,0.6951698402296198
1080.png,21.572493600718538,0.6806613021378951
1081.png,21.451437112536812,0.6489988439037012
1082.png,22.119285171947002,0.7138171840431335
1083.png,21.483212225786307,0.6753371982172561
1084.png,20.774284811232633,0.5569932813704656
1085.png,21.93535673397208,0.657410736581557
1086.png,20.241740233299808,0.5925380335795601
1087.png,20.39973223999228,0.5846376462750209
